timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1776817680000,76303.85000000,76307.19000000,76282.12000000,76284.92000000,2.31956000,1776817739999,176975.19496780,2037,1.32941000,101431.07515320,0
1776817740000,76284.93000000,76300.00000000,76274.00000000,76274.01000000,4.73206000,1776817799999,361007.75260290,1699,1.76543000,134677.25842060,0
1776817800000,76274.00000000,76305.67000000,76274.00000000,76284.36000000,3.80832000,1776817859999,290561.40778120,1931,2.03119000,154970.28436890,0
1776817860000,76284.35000000,76306.52000000,76284.35000000,76306.52000000,2.87461000,1776817919999,219306.82489050,1581,2.36734000,180605.27939970,0
1776817920000,76306.52000000,76306.52000000,76277.15000000,76290.09000000,3.22613000,1776817979999,246128.20611440,1472,0.99900000,76211.82709460,0
1776817980000,76290.10000000,76310.00000000,76286.62000000,76306.04000000,3.61406000,1776818039999,275750.97418850,1615,3.27257000,249695.33940330,0
1776818040000,76306.03000000,76306.03000000,76252.60000000,76254.16000000,3.26621000,1776818099999,249091.10645460,1560,0.52310000,39889.62878850,0
1776818100000,76254.16000000,76266.00000000,76250.96000000,76253.15000000,3.79565000,1776818159999,289441.94074350,1213,1.31182000,100032.40189590,0
1776818160000,76253.15000000,76270.00000000,76220.40000000,76220.40000000,13.40776000,1776818219999,1022325.12096950,1885,2.63240000,200706.50087660,0
1776818220000,76220.40000000,76298.44000000,76220.40000000,76298.43000000,14.31410000,1776818279999,1091478.64099610,2922,10.39743000,792782.72503130,0
1776818280000,76298.43000000,76313.97000000,76286.62000000,76296.98000000,7.07051000,1776818339999,539454.96226730,1485,6.13058000,467737.30146640,0
1776818340000,76296.99000000,76338.33000000,76296.97000000,76338.33000000,3.26262000,1776818399999,248968.80201370,1578,2.20925000,168594.33604300,0
1776818400000,76338.33000000,76400.00000000,76338.33000000,76350.00000000,3.97452000,1776818459999,303562.50973850,2618,1.41719000,108228.26179610,0
1776818460000,76350.00000000,76350.00000000,76301.76000000,76305.77000000,1.80143000,1776818519999,137492.81530080,1519,0.97688000,74557.03844710,0
1776818520000,76305.77000000,76329.07000000,76304.01000000,76329.06000000,3.70988000,1776818579999,283117.67981790,1569,3.40671000,259979.95572840,0
1776818580000,76329.06000000,76350.42000000,76329.06000000,76350.42000000,4.43350000,1776818639999,338431.17256980,912,3.67297000,280379.55865670,0
1776818640000,76350.42000000,76350.42000000,76315.44000000,76338.00000000,2.42495000,1776818699999,185095.87739370,1712,1.64724000,125730.44961490,0
1776818700000,76337.99000000,76374.33000000,76337.99000000,76363.99000000,7.50779000,1776818759999,573299.26912250,2124,6.33810000,483970.12005830,0
1776818760000,76364.00000000,76364.00000000,76317.81000000,76332.36000000,2.23310000,1776818819999,170465.92199550,1433,0.83595000,63803.74426860,0
1776818820000,76332.36000000,76334.37000000,76309.70000000,76334.37000000,2.89399000,1776818879999,220874.88684660,1120,1.53482000,117146.44212820,0
1776818880000,76334.37000000,76334.37000000,76302.00000000,76310.70000000,3.39812000,1776818939999,259330.18219390,2393,1.81912000,138819.98451290,0
1776818940000,76310.70000000,76317.60000000,76284.64000000,76284.65000000,2.85520000,1776818999999,217856.26590610,1551,1.25413000,95698.14798950,0
1776819000000,76284.64000000,76284.65000000,76250.00000000,76254.23000000,3.23280000,1776819059999,246550.59335040,2032,2.47865000,189036.09678400,0
1776819060000,76254.23000000,76291.30000000,76250.00000000,76279.65000000,4.05074000,1776819119999,308976.56896130,2770,2.88752000,220254.61040440,0
1776819120000,76279.65000000,76281.54000000,76249.41000000,76281.53000000,8.24801000,1776819179999,629015.66523410,1587,1.70263000,129855.74455640,0
1776819180000,76281.53000000,76282.02000000,76267.47000000,76277.40000000,2.88293000,1776819239999,219897.26487930,1256,1.88927000,144103.65879550,0
1776819240000,76277.41000000,76300.59000000,76258.66000000,76273.96000000,5.80567000,1776819299999,442790.45768290,2437,4.87443000,371755.41472740,0
1776819300000,76273.97000000,76288.10000000,76266.68000000,76266.68000000,6.38163000,1776819359999,486758.15765480,1508,5.06966000,386681.56785630,0
1776819360000,76266.68000000,76308.89000000,76266.68000000,76308.89000000,4.50308000,1776819419999,343487.02889070,1363,3.28508000,250560.81758420,0
1776819420000,76308.93000000,76315.43000000,76288.00000000,76296.15000000,1.95930000,1776819479999,149495.45205690,1156,0.44119000,33661.59053270,0
1776819480000,76296.15000000,76305.60000000,76282.49000000,76286.55000000,1.70443000,1776819539999,130038.44653300,1428,0.81395000,62098.32888170,0
1776819540000,76286.56000000,76370.46000000,76285.17000000,76370.45000000,22.89039000,1776819599999,1746704.38130910,1592,20.79662000,1586951.98571130,0
1776819600000,76370.46000000,76376.41000000,76312.41000000,76329.19000000,39.85884000,1776819659999,3042547.46792630,5210,27.47516000,2097332.53978010,0
1776819660000,76329.94000000,76387.64000000,76322.89000000,76377.97000000,4.67030000,1776819719999,356666.21144000,2177,3.18888000,243534.89475190,0
1776819720000,76377.98000000,76412.42000000,76373.06000000,76412.41000000,4.90803000,1776819779999,374911.15374170,1454,4.29673000,328213.39989290,0
1776819780000,76412.41000000,76412.42000000,76363.57000000,76383.83000000,1.89682000,1776819839999,144889.73673070,1699,1.14790000,87679.53010950,0
1776819840000,76383.83000000,76397.12000000,76350.83000000,76350.84000000,8.37970000,1776819899999,640021.36372220,1990,2.53651000,193742.98170410,0
1776819900000,76350.83000000,76369.92000000,76350.00000000,76369.92000000,2.97054000,1776819959999,226830.74819490,1619,1.51357000,115568.86034900,0
1776819960000,76369.91000000,76369.91000000,76322.15000000,76322.15000000,4.86517000,1776820019999,371438.47605700,1734,2.03306000,155229.83172380,0
1776820020000,76322.01000000,76357.25000000,76322.00000000,76345.62000000,2.76582000,1776820079999,211130.54955670,1542,2.47336000,188802.94343050,0
1776820080000,76345.63000000,76345.82000000,76315.52000000,76338.70000000,7.21782000,1776820139999,551005.26654250,1582,3.64060000,277928.48074560,0
1776820140000,76338.70000000,76345.63000000,76323.44000000,76345.62000000,3.99149000,1776820199999,304680.10803450,1195,3.43178000,261953.51224610,0
1776820200000,76345.62000000,76355.53000000,76331.06000000,76331.07000000,2.88783000,1776820259999,220474.04984540,1149,2.51543000,192043.53705620,0
1776820260000,76331.06000000,76331.07000000,76281.73000000,76309.99000000,3.62469000,1776820319999,276557.91530630,2204,0.99921000,76235.35327920,0
1776820320000,76310.00000000,76370.89000000,76310.00000000,76364.86000000,3.07331000,1776820379999,234614.52214980,1867,2.09507000,159945.45002140,0
1776820380000,76364.86000000,76391.81000000,76341.33000000,76384.16000000,4.26418000,1776820439999,325632.18888020,2157,3.08147000,235320.27264410,0
1776820440000,76384.17000000,76416.24000000,76384.17000000,76397.37000000,3.85940000,1776820499999,294870.86186970,1746,3.13357000,239412.70617870,0
1776820500000,76397.37000000,76397.37000000,76358.86000000,76358.87000000,1.99601000,1776820559999,152450.50750590,1798,0.69318000,52942.14998450,0
1776820560000,76358.86000000,76358.86000000,76326.02000000,76337.38000000,2.52937000,1776820619999,193078.82755020,1997,1.52635000,116509.12405630,0
1776820620000,76337.38000000,76349.99000000,76331.54000000,76349.99000000,3.71308000,1776820679999,283469.19678580,1703,2.93775000,224278.78532380,0
1776820680000,76349.98000000,76349.99000000,76258.76000000,76258.77000000,5.81019000,1776820739999,443261.40865890,2753,1.14433000,87317.54456300,0
1776820740000,76258.78000000,76258.78000000,76164.81000000,76184.44000000,15.67667000,1776820799999,1194401.73057570,4600,5.93605000,452210.14847490,0
1776820800000,76184.44000000,76204.12000000,76169.19000000,76204.12000000,11.72230000,1776820859999,893020.09456780,2078,7.76828000,591802.84045290,0
1776820860000,76204.11000000,76219.09000000,76140.09000000,76140.10000000,20.02395000,1776820919999,1525265.40214060,3089,3.17707000,242027.25778370,0
1776820920000,76140.10000000,76200.00000000,76140.09000000,76200.00000000,9.60051000,1776820979999,731293.40758230,2425,4.42450000,336996.49853730,0
1776820980000,76199.99000000,76247.77000000,76199.99000000,76233.23000000,15.17078000,1776821039999,1156446.01896760,2681,10.09130000,769205.85316200,0
1776821040000,76233.24000000,76233.24000000,76178.18000000,76178.18000000,13.16380000,1776821099999,1003083.86904250,2578,1.77099000,134942.05901300,0
1776821100000,76178.19000000,76200.00000000,76169.00000000,76179.15000000,6.84456000,1776821159999,521459.15075790,1971,3.81528000,290658.96020010,0
1776821160000,76179.15000000,76198.00000000,76169.80000000,76197.99000000,4.19022000,1776821219999,319211.55741780,1050,3.78902000,288645.86439490,0
1776821220000,76198.00000000,76214.65000000,76196.27000000,76214.64000000,2.55730000,1776821279999,194874.32712090,961,2.20037000,167674.00812700,0
